2022-04-14 11:25:43,420 INFO  Message：*********** GetAFileFromAML 取得 結案AML AFile回檔 資料 批次 START ************** 
2022-04-14 11:25:43,509 ERROR  Message：[FAIL] Job工作狀態為：停止！
2022-04-14 11:25:43,631 INFO  Layer：BusinessRule Message：判斷是否手動輸入參數 啟動排程：開始！,

2022-04-14 11:25:43,631 INFO  Layer：BusinessRule Message：手動輸入參數啟動排程：否！,

2022-04-14 11:25:43,632 INFO  Layer：BusinessRule Message：判斷是否手動輸入參數 啟動排程：結束！,

2022-04-14 11:25:50,362 INFO  Message：讀取要匯入A File 回檔資料!！
2022-04-14 11:25:50,595 INFO  Message：讀取檔案資料結束！
2022-04-14 11:26:32,343 INFO  Message：資料庫寫檔開始！ masterID = 1135
2022-04-14 11:26:32,343 INFO  Message：資料庫寫檔結束！
2022-04-14 11:26:37,569 ERROR  Message：取得結案AML AFILE回檔批次:AML_TW_RMMOK_A_CARD_20220414.dat 失敗！有出現A檔案_資料異常:請至AML_AFileImport查詢
2022-04-14 11:26:49,452 ERROR  Message：取得結案AML AFILE回檔 批次:AML_TW_RMMOK_A_CARD_20220414.dat 成功！總筆數:2，匯入成功共2筆，匯入失敗O筆
2022-04-14 11:27:00,952 INFO  Message：  取得 結案AML AFile回檔 檔資料 批次 Job 結束！
2022-04-14 11:27:00,952 INFO  Message：================================================================================================================================================
2022-04-14 11:29:03,449 INFO  Message：*********** GetAFileFromAML 取得 結案AML AFile回檔 資料 批次 START ************** 
2022-04-14 11:29:03,527 ERROR  Message：[FAIL] Job工作狀態為：停止！
2022-04-14 11:29:03,636 INFO  Layer：BusinessRule Message：判斷是否手動輸入參數 啟動排程：開始！,

2022-04-14 11:29:03,636 INFO  Layer：BusinessRule Message：手動輸入參數啟動排程：否！,

2022-04-14 11:29:03,636 INFO  Layer：BusinessRule Message：判斷是否手動輸入參數 啟動排程：結束！,

2022-04-14 11:29:05,876 INFO  Message：讀取要匯入A File 回檔資料!！
2022-04-14 11:29:05,930 INFO  Message：讀取檔案資料結束！
2022-04-14 11:29:10,510 ERROR  Message：取得結案AML AFILE回檔 批次:AML_TW_RMMOK_A_CARD_20220414.dat 失敗！總筆數:0結案AML結案回檔已存在，如要重匯請刪除AML_IMP_LOG table那筆資料
2022-04-14 11:29:29,389 INFO  Message：  取得 結案AML AFile回檔 檔資料 批次 Job 結束！
2022-04-14 11:29:29,389 INFO  Message：================================================================================================================================================
2022-04-14 11:30:39,320 INFO  Message：*********** GetAFileFromAML 取得 結案AML AFile回檔 資料 批次 START ************** 
2022-04-14 11:30:39,401 ERROR  Message：[FAIL] Job工作狀態為：停止！
2022-04-14 11:30:39,514 INFO  Layer：BusinessRule Message：判斷是否手動輸入參數 啟動排程：開始！,

2022-04-14 11:30:39,514 INFO  Layer：BusinessRule Message：手動輸入參數啟動排程：否！,

